repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
13,6,3,19|4|17|13|6|7|18|18,0,16,56,TRUE,0.125921390536465,0.338728352625994,0.343548901325886,106.042786576727,252.721362916629
13,6,4,14|2|13|5|13|10|6|19,0,19,67,TRUE,0.160368403560999,0.344033383820897,0.412187743808283,106.105048990184,252.721362916629
13,6,5,15|3|8|7|13|19|13|19,0,18,34,TRUE,0.138518973665463,0.384505342938592,0.416159058445661,106.258720312591,252.721362916629
13,6,6,6|2|5|11|12|13|7|19,0,21,45,TRUE,0.312836481232687,0.379089173113179,0.369174617762443,106.283776263315,252.721362916629
13,6,7,17|5|13|5|13|12|19|19,0,17,72,TRUE,0.183813559051246,0.23348425900822,0.367332952619313,106.320704246504,252.721362916629
13,6,8,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,106.778223713178,252.721362916629
13,6,9,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,106.983795619964,252.721362916629
13,6,10,16|7|19|11|18|6|13|16,0,22,17,TRUE,0.261152117622525,0.319518450409687,0.317191003871721,107.157535458379,252.721362916629
1,6,1,18|6|20|8|12|5|13|19,0,69,45,TRUE,0.157593888537115,0.428134739288106,0.249567048016628,107.059666333494,250.858710734049
1,6,2,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,107.229423160504,250.858710734049
1,6,3,20|2|4|12|19|6|12|19,0,25,18,TRUE,0.282707412433811,0.482140942296634,0.469698979663663,107.735212686118,250.858710734049
1,6,4,20|11|19|11|15|6|13|17,0,61,17,TRUE,0.31642469286765,0.410102219603921,0.35514911136115,107.75709445585,250.858710734049
1,6,5,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,107.788653372963,250.858710734049
1,6,6,20|2|3|11|14|9|13|19,0,64,33,TRUE,0.306708564003504,0.488514152085652,0.182291921177603,107.901928384795,250.858710734049
1,6,7,20|11|6|2|11|10|6|16,0,59,55,TRUE,0.29678771596963,0.29480635528097,0.332042767556367,108.287921942151,250.858710734049
1,6,8,18|11|20|13|9|5|2|17,0,32,65,TRUE,0.158037993139034,0.465293191265767,0.225092961745665,109.242598638389,250.858710734049
1,6,9,14|3|5|5|17|10|6|18,2,67,62,TRUE,0.433291465882212,0.277353678960353,0.304794456018135,109.668225097469,250.858710734049
1,6,10,20|8|12|13|16|10|6|19,1,21,73,TRUE,0.245667168941631,0.239773098722154,0.150370209593027,110.560405809921,250.858710734049
5,6,1,18|7|3|13|14|11|18|19,0,22,31,TRUE,0.11791501423762,0.21691702679457,0.391666945471289,105.115611227465,250.58291430076
5,6,2,18|5|9|17|12|5|13|17,0,40,75,TRUE,0.124193878222121,0.390015894323521,0.271460847054799,105.324203656922,250.58291430076
5,6,3,18|15|9|14|10|10|18|18,0,16,75,TRUE,0.138359766714799,0.349130653517571,0.198027020944601,105.757345662453,250.58291430076
5,6,4,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,106.051073464765,250.58291430076
5,6,5,18|10|4|5|8|15|6|19,0,17,57,TRUE,0.365869747831555,0.373910038718441,0.322183976787061,106.262255177375,250.58291430076
5,6,6,18|10|18|7|6|4|17|17,0,37,36,TRUE,0.139137184016481,0.408883662818983,0.391865123968914,106.569871372065,250.58291430076
5,6,7,20|15|12|9|10|5|14|17,0,74,74,TRUE,0.159725812603158,0.354855105812581,0.251598292728253,107.014040693155,250.58291430076
5,6,8,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,107.076023262658,250.58291430076
5,6,9,20|2|4|12|19|6|12|19,0,25,18,TRUE,0.282707412433811,0.482140942296634,0.469698979663663,107.371927832214,250.58291430076
5,6,10,18|11|15|9|16|4|9|17,0,18,55,TRUE,0.238058628618192,0.405036118909577,0.273018921721237,107.401865794223,250.58291430076
8,6,1,18|7|12|9|18|10|16|19,0,18,64,TRUE,0.155458837952846,0.304789318155369,0.378963094795186,104.923626525348,256.075035464764
8,6,2,18|2|3|6|13|17|13|19,0,18,56,TRUE,0.254055623136727,0.430506101504238,0.344296630079874,105.959540882514,256.075035464764
8,6,3,18|11|13|16|18|14|15|19,0,18,29,TRUE,0.290722736112539,0.3940841368729,0.28709650054138,106.187743797763,256.075035464764
8,6,4,18|12|16|9|13|10|11|17,0,74,22,TRUE,0.137673733322734,0.339327300378321,0.326695337059959,106.812824729257,256.075035464764
8,6,5,20|11|7|6|17|7|11|18,0,61,39,TRUE,0.308173057385491,0.464984257438787,0.382153870696647,107.129076917672,256.075035464764
8,6,6,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,107.192403938291,256.075035464764
8,6,7,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,107.313552346345,256.075035464764
8,6,8,20|2|4|12|19|6|12|19,0,25,18,TRUE,0.282707412433811,0.482140942296634,0.469698979663663,107.353347071134,256.075035464764
8,6,9,14|16|5|12|13|13|18|20,2,51,77,TRUE,0.209176851605739,0.444267386333516,0.31678391496877,107.573884834617,256.075035464764
8,6,10,16|8|10|8|16|18|13|15,0,21,28,TRUE,0.149271241678869,0.483855277226292,0.442760408636568,108.484253456696,256.075035464764
15,6,1,18|11|7|7|9|3|9|19,0,36,8,TRUE,0.327625497274297,0.34268225621888,0.144136260786449,105.205853675395,257.023482867082
15,6,2,19|8|7|8|13|6|13|18,0,55,8,TRUE,0.189444087500526,0.207398771266713,0.352299206310032,105.886903986737,257.023482867082
15,6,3,19|13|18|8|9|4|17|18,0,67,10,TRUE,0.194388452953638,0.226900013085769,0.250044277103171,106.012585571469,257.023482867082
15,6,4,18|3|14|8|9|11|18|19,0,50,13,TRUE,0.298898656029233,0.242660112650899,0.218331706458038,106.091791612406,257.023482867082
15,6,5,18|14|12|7|11|13|2|19,0,18,9,TRUE,0.286156462172995,0.346382737076033,0.236534141273078,106.226992918373,257.023482867082
15,6,6,19|9|12|9|13|7|16|19,0,18,17,TRUE,0.245263406835241,0.41615554650743,0.173849881133805,106.249609721288,257.023482867082
15,6,7,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,106.418384267573,257.023482867082
15,6,8,20|3|3|11|18|6|13|19,0,45,17,TRUE,0.427401433443652,0.363288842423877,0.354789782934254,106.551349737746,257.023482867082
15,6,9,20|8|2|9|10|6|14|19,0,46,49,TRUE,0.245019640404516,0.33796762159933,0.341980920995538,106.569149444491,257.023482867082
15,6,10,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,107.348758341314,257.023482867082
10,6,1,20|5|10|8|8|8|19|16,0,22,21,TRUE,0.295016611781817,0.264539840942534,0.170027149365639,106.165892006777,258.707670847575
10,6,2,18|15|8|15|14|12|20|18,0,56,30,TRUE,0.136011002548851,0.378045109133446,0.371497393977531,106.313177576984,258.707670847575
10,6,3,19|15|4|10|9|8|19|17,0,22,20,TRUE,0.281863531827075,0.386828815538156,0.199812232313466,106.880179282604,258.707670847575
10,6,4,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,107.062776864656,258.707670847575
10,6,5,19|13|19|17|5|7|15|19,0,55,15,TRUE,0.334914869500475,0.228876981839712,0.422703199740072,107.17498736574,258.707670847575
10,6,6,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,107.284558098248,258.707670847575
10,6,7,20|2|6|9|18|6|13|18,0,31,47,TRUE,0.270021765298306,0.452523518612529,0.45583109404914,107.352646802574,258.707670847575
10,6,8,20|2|4|12|19|6|12|19,0,25,18,TRUE,0.282707412433811,0.482140942296634,0.469698979663663,107.650134372074,258.707670847575
10,6,9,20|14|8|13|16|7|12|17,0,40,17,TRUE,0.412872686811164,0.398854769367214,0.25818565898317,107.930960517953,258.707670847575
10,6,10,20|9|18|7|15|7|15|17,0,44,21,TRUE,0.331802014704883,0.488454569197341,0.243778089226632,108.402808682557,258.707670847575
16,6,1,20|3|20|11|14|9|11|18,0,34,72,TRUE,0.266469965017881,0.305951517760715,0.295110424865921,105.284897644667,260.088015031815
16,6,2,20|7|10|9|10|14|11|18,0,19,61,TRUE,0.26670293373469,0.279357867071413,0.385069467267097,105.901847555824,260.088015031815
16,6,3,19|8|11|12|7|8|14|19,0,36,77,TRUE,0.1634212911415,0.411312565674802,0.369223631558044,105.948323700126,260.088015031815
16,6,4,20|12|17|8|11|5|15|18,0,43,23,TRUE,0.143455115778171,0.281532762549977,0.375745734359188,105.998037413548,260.088015031815
16,6,5,20|6|6|9|15|6|15|19,0,37,24,TRUE,0.45636260922498,0.311588551687395,0.270616753451281,106.048419709538,260.088015031815
16,6,6,20|10|13|13|9|6|15|17,0,23,29,TRUE,0.198370769361609,0.400889421797884,0.365044263214234,106.072432604432,260.088015031815
16,6,7,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,106.073639547496,260.088015031815
16,6,8,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,106.186767347975,260.088015031815
16,6,9,20|6|7|13|15|14|14|17,0,19,64,TRUE,0.239846171517894,0.375885796665633,0.365343952711055,106.399785709857,260.088015031815
16,6,10,20|2|4|12|19|6|12|19,0,25,18,TRUE,0.282707412433811,0.482140942296634,0.469698979663663,106.836960364048,260.088015031815
7,6,1,18|9|10|11|9|8|16|18,0,18,46,TRUE,0.296833266721862,0.347657035920194,0.387175881275631,106.255298581401,261.635885250568
7,6,2,20|2|3|11|7|9|8|19,0,21,63,TRUE,0.299885050406143,0.478258318288619,0.436242324472057,107.226706515351,261.635885250568
7,6,3,20|2|4|12|19|6|12|19,0,25,18,TRUE,0.282707412433811,0.482140942296634,0.469698979663663,107.251594562415,261.635885250568
7,6,4,19|5|7|6|9|12|17|17,0,18,46,TRUE,0.435357487163359,0.424022483552492,0.40293969135528,107.32700451668,261.635885250568
