repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
14,8,3,17|18,1,69,8,TRUE,0.31856009460094,0.156391462679027,0.301640812685396,103.943527077823,203.226665918032
14,8,4,18|12,2,58,67,TRUE,0.400374574612541,0.280656317014416,0.299303173241765,104.104066858345,203.226665918032
14,8,5,15|17,1,60,6,TRUE,0.294186640226102,0.386472706663893,0.325864744755591,104.997046585313,203.226665918032
14,8,6,11|18,1,47,7,TRUE,0.369952478543562,0.372983308482209,0.325199162453443,106.834755225032,203.226665918032
14,8,7,17|20,0,44,7,TRUE,0.369491709548877,0.26900168192159,0.39259268916212,108.453662057632,203.226665918032
14,8,8,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,109.380083081454,203.226665918032
14,8,9,18|2,1,7,62,TRUE,0.486149634294108,0.235612882029576,0.263453908494881,110.250860404235,203.226665918032
14,8,10,4|17,2,80,56,TRUE,0.161556587127658,0.263929166595659,0.160392793433534,110.539374315789,203.226665918032
8,9,1,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,103.451997599386,176.781379433473
8,9,2,18|18,1,64,4,TRUE,0.388021239655046,0.198345820242538,0.21689409809048,103.681734857851,176.781379433473
8,9,3,17|10,1,50,4,TRUE,0.284496559055505,0.222867555403294,0.324655150843975,104.385670028903,176.781379433473
8,9,4,18|13,1,57,7,TRUE,0.410039186405032,0.15979443239571,0.364793095438198,104.502217549436,176.781379433473
8,9,5,17|16,1,44,4,TRUE,0.38707880480228,0.202223609081906,0.242692522681295,104.629597398739,176.781379433473
8,9,6,17|14,1,62,37,TRUE,0.341485638576193,0.162737609925193,0.365303170487636,104.742397370398,176.781379433473
8,9,7,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,106.000164254124,176.781379433473
8,9,8,18|10,1,43,4,TRUE,0.422657983881837,0.198423378109455,0.25870621606725,106.150130307051,176.781379433473
8,9,9,16|7,1,65,4,TRUE,0.384183983783759,0.208407043811705,0.351895276986457,107.212987664312,176.781379433473
8,9,10,17|20,0,44,7,TRUE,0.369491709548877,0.26900168192159,0.39259268916212,108.559330810059,176.781379433473
18,8,1,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,102.705780238994,209.293555148443
18,8,2,18|14,1,65,16,TRUE,0.429943390794218,0.146130199814656,0.352105546489721,104.779200945272,209.293555148443
18,8,3,18|10,1,45,7,TRUE,0.370623947379819,0.315620721613286,0.274580960539848,106.364043928425,209.293555148443
18,8,4,17|20,0,44,7,TRUE,0.369491709548877,0.26900168192159,0.39259268916212,107.248996743385,209.293555148443
18,8,5,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,108.03067189455,209.293555148443
18,8,6,4|17,2,80,56,TRUE,0.161556587127658,0.263929166595659,0.160392793433534,108.604494577042,209.293555148443
18,8,7,11|19,1,70,80,TRUE,0.420987124826449,0.469431954410134,0.321330028164407,109.683151619326,209.293555148443
18,8,8,18|2,1,7,62,TRUE,0.486149634294108,0.235612882029576,0.263453908494881,111.43074438569,209.293555148443
18,8,9,9|18,0,51,39,TRUE,0.348085354806648,0.107769819675013,0.181438656702327,116.369993115439,209.293555148443
18,8,10,13|11,2,13,44,FALSE,0.216686497804605,0.121939803605589,0.253853989674503,118.656855407526,209.293555148443
