repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
6,3,2,20|5|14|13|4|14|5|9|15|5|18|13|20|15|6|15|8|18|11,2,44,64,FALSE,0.370916359651762,0.166312081827518,0.126292090729081,159.038819535906,84.9063220024109
6,3,3,20|17|13|5|2|6|5|2|3|14|20|12|8|7|8|7|14|20|17,0,44,74,TRUE,0.343434668884998,0.138531484239528,0.332485159917944,164.852544843109,84.9063220024109
6,3,4,10|17|18|13|4|20|12|11|17|8|20|11|18|20|4|20|11|2|5,2,75,79,TRUE,0.243129209877672,0.210768646582997,0.191817601940308,166.08564647971,84.9063220024109
6,3,5,19|16|20|9|15|5|14|19|6|15|5|17|20|18|5|19|13|4|12,0,75,70,TRUE,0.314608515761434,0.157711799030837,0.374798306839791,166.440493039392,84.9063220024109
6,3,6,19|4|11|12|3|9|12|16|4|5|7|11|20|7|14|10|14|3|10,2,28,79,FALSE,0.390020161566465,0.155949108180536,0.255404831616406,167.009383727944,84.9063220024109
6,3,7,20|20|10|8|10|5|12|9|5|2|19|12|8|4|12|4|5|15|3,2,76,73,FALSE,0.17166756906081,0.289084785208643,0.350017005128141,167.051901244671,84.9063220024109
6,3,8,17|9|8|10|13|12|12|10|11|14|10|6|14|13|9|14|9|4|7,2,46,45,TRUE,0.32932337198693,0.296100462419697,0.387512572233279,168.025762047971,84.9063220024109
6,3,9,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,168.729541428117,84.9063220024109
6,3,10,20|17|10|7|16|7|13|18|10|10|5|8|3|9|9|5|9|12|18,0,56,73,TRUE,0.342629289105893,0.277503207555184,0.302744934875339,169.729430365519,84.9063220024109
9,2,1,20|19|20|5|10|16|9|11|6|16|16|10|5|9|11|5|6|17|18,0,62,74,TRUE,0.196961821847744,0.456692412105421,0.332826599840776,152.924413658694,125.49691041708
